PRO_COM,Destinazione,Total_Mete,COMUNE,VISITORS
1272,28001,381587,Torino,23420
6003,28001,323323,Alessandria,1896
2158,28001,314338,Vercelli,860
26086,28001,69240,Treviso,39864
97042,28001,266729,Lecco,1900
3106,28001,290117,Novara,3800
4078,28001,441661,Cuneo,924
16024,28001,204680,Bergamo,4932
5005,28001,356348,Asti,1188
7003,28001,424308,Aosta,992
9056,28001,403731,Savona,1904
8031,28001,474437,Imperia,444
10025,28001,372636,Genova,15712
14061,28001,345594,Sondrio,680
13075,28001,288039,Como,2816
11015,28001,316885,La Spezia,1724
12133,28001,297018,Varese,3028
15146,28001,248812,Milano,115864
17029,28001,158569,Brescia,8024
21008,28001,244685,Bolzano,10268
19036,28001,199149,Cremona,2872
24116,28001,46475,Vicenza,84048
18110,28001,280716,Pavia,3004
28060,28001,11372,Padova,1193188
22205,28001,188635,Trento,18592
25006,28001,136009,Belluno,10860
43023,28001,357700,Macerata,1148
71024,28001,653437,Foggia,2024
45010,28001,307977,Massa,1376
35033,28001,178235,Reggio nell'Emilia,7364
54039,28001,363460,Perugia,4428
30129,28001,160579,Udine,15120
31007,28001,167101,Gorizia,2832
32006,28001,189906,Trieste,16588
29041,28001,40147,Rovigo,57684
27042,28001,48800,Venezia,140600
40012,28001,179610,Forlì,4720
39014,28001,164018,Ravenna,9168
48017,28001,213236,Firenze,17076
34027,28001,206068,Parma,7868
37006,28001,109809,Bologna,37912
33032,28001,230881,Piacenza,2532
50026,28001,289741,Pisa,3388
52032,28001,277970,Siena,2768
47014,28001,228443,Pistoia,1716
49009,28001,308617,Livorno,3008
51002,28001,290123,Arezzo,2188
53011,28001,351679,Grosseto,1308
44007,28001,430249,Ascoli Piceno,1076
23091,28001,97848,Verona,56584
20030,28001,133763,Mantova,5756
55032,28001,441579,Terni,1924
46017,28001,267746,Lucca,2552
58091,28001,494962,Roma,77520
67041,28001,446900,Teramo,1204
59011,28001,552794,Latina,1744
64008,28001,712410,Avellino,1064
79023,28001,107183,Catanzaro,660
76063,28001,823506,Potenza,1084
63049,28001,686656,Napoli,11488
61022,28001,659933,Caserta,1168
65116,28001,728123,Salerno,2080
66049,28001,500880,L'Aquila,2440
72006,28001,773722,Bari,4420
70006,28001,635601,Campobasso,796
77014,28001,822242,Matera,1092
69022,28001,478541,Chieti,1060
42002,28001,320601,Ancona,3124
73027,28001,867165,Taranto,2256
74001,28001,886126,Brindisi,1220
78045,28001,980045,Cosenza,1056
38008,28001,68770,Ferrara,26888
68028,28001,467368,Pescara,2660
41044,28001,254381,Pesaro,3184
36023,28001,150287,Modena,10380
75035,28001,923400,Lecce,1696
80063,28001,116437,Reggio di Calabria,1764
96004,28001,341155,Biella,1472
98031,28001,267682,Lodi,1272
110001,28001,722541,Andria,744
110002,28001,727566,Barletta,1096
110009,28001,731319,Trani,1116
103072,28001,324117,Verbania,848
102047,28001,107539,Vibo Valentia,320
101010,28001,105915,Crotone,368
108033,28001,239792,Monza,5652
100005,28001,212498,Prato,5112
109006,28001,375632,Fermo,1208
56059,28001,423704,Viterbo,928
62008,28001,692191,Benevento,792
57059,28001,479605,Rieti,472
93033,28001,118634,Pordenone,9120
60038,28001,548972,Frosinone,848
99014,28001,223239,Rimini,6272
